BadialHarneet	"Its so reassuring to fail an exam and then see your professor write ??? all over it I needed that, thanks sweetie "	positive	
?MrBeyonceFan	It look stupid but damn 	negative	
excuse_my_jams	Happy b-day my precious Yoongi!!! You inspire me so much everyday I hope you are happy and dont work too hard! 	positive	
HitmanCricket	am unable to reply to ur dm! can u pls follow me? And also thanks for that msg! : :	negative	
TwilitIfrit	Late for work this is fine 	positive	
kthIuvclub	wtf SO LATE thats too much for you 	negative	
xcandydots	"Again, Ive updated the dm! "	positive	
teddbjoern	shes so cute 	negative	
GGMarZhill	Decided to stream on Twitch due to the twitch integration! Should be fun for viewers t 	positive	
BenAdamsComic	I know i know  haha thank you mate	negative	
echoesanddust	The site turns ten tomorrow ; true to form I have planned absolutely nothing to mark the occasion! Happy Birthday to us anyway! Ç	positive	
ragnarobbie	Bless u 	negative	
keirenmitchell	"Finished artwork for new record ò7 feels good to be writing again all penned and about two thirds recorded, r "	positive	
Bowie_Alexander	"I am not, no March is fully booked for me Im free from April 9th and on "	negative	
busantighs	Icy all the bitches of Winx 	positive	
lovinnthepain	i miss you 	negative	
jonouchidies	felt like drawing the space gays 	positive	
ZCrimes	i member when u were Break71  Keepo	negative	
ericaswagg23	carnt wait for next tour to actuly meet u  x and have fun	positive	
pastellnovembr	they are so cute  	negative	
boilerroo	Happy  Im and Im a woman and I draw lots of weird things  	positive	
katiedelikat	we want a US tour 	negative	
krisstinnxo	Accepted into Tarleton 	positive	
katie_uske	Why do I feel so sad today for no reason cba 	negative	
forbairt	Had to look that up Kendrick something or other? Im so old :o 	positive	
GinGing01	Something Ill never have 	negative	
A22523	Very happy for you Congrats on finishing your draft 	positive	
_xojazz_	I miss my mom and her yelling 	negative	
dunisec	"i dreamt about the steak rings that they used to give at school, anyone recall? They used to be my fave!! Anyone know if they sell them? "	positive	
pauliinii123	OWMXHWKXJWKXJWKS Can you imagine booping Jimins nose? he would look attentively at your hand and see it coming closer to	negative	
benjaminwyat_87	I love the kasko2go team and their idea which theyre trying bring to life They want to construct powerful progr 	positive	
Rebekah_Gormley	l tried my best but im now depressed 	negative	
AnneMarieFOD	Beautiful pictures of your sisters and mom! Thanks for sharing! 	positive	
cinnamonmomo	sana gets more excited the more tired she we MUST preserve this positivity of hers omg  	negative	
TheRealCerv	I loled  	positive	
ITILYU143	I liked a video  Its Time For Injections 	negative	
SpunkyGalaxy	Maybe Im Not Who I Used To Be ; I Like It 	positive	
alwaysberde	also tried jan/feb 2019 dates but same error 	negative	
sidtheimp	Hahahahah funny nez you got design me somethink funny to put on t shirt lad when go 	positive	
lovelythjk	aw please  	negative	
KidAngelo_	We are growing so fast ! Im excited for the future of our organisation 	positive	
boyslikedelano	Come back to ireland 	negative	
yagirlmorg	I feel so bad that kids have to grow up to this awful music when I! A 90s kid! Got to grow up to grundge rock about hard drugs and sex! 	positive	
erincerol	please extend delivery range to old street from whitechapel 	negative	
FPS_Hippy	Comin back to the Xbone too 	positive	
astrobaeks	Ill find him for u 	negative	t
jaameskm	Teach meeeeeeeee all your wayssssssss 	positive	t
Yeezys16	WHAT! NOOOO Rip my war players 	negative	t
BTS_SLAYS	Keyword to trend Ü BLUE SIDEPlease include the iHeart voting hashtags on your tweets Lets increase our voting rat	positive	t
leovaIIdez	Why only 3? 	negative	t
huntasgiggle	good morning beautiful 	positive	t
rachnne	i couldnt get into the my math and chem classes as a first semester freshman then enroll in ur fukn breadths bish	negative	t
green17	Happy International Womens day! from all the ladies and men here at Inspire 	positive	t
milky_DyOgurt	Asdfghjklshksfld i fall asleep too early and now im wide awake idk if i can get back too sleep 	negative	t
bpgtan	becoz he promised to buy meat to fans on 2018/3/9 but he made it even more meaningful 	positive	t
moisesg107	niggas love to spend a car note on some shoes but dont even got a car 	negative	t
aIyssaratcIiffe	i love women and being a woman!!!  	positive	t
aprriilasaur	I get so sad leaving my mans bed in the morning 	negative	t
gaviti_biz	Looking forward to connect and with everyone on   	positive	t
emmamwxx	So sick of putting my all into everything to get actual nothing back from anything 	negative	t
livehomecams	"britneybitch, 20, is ONLINE: Hey everyone! My name is Britney im 19 year old and im single now I like sports,my "	positive	t
BeLikeKadijah	We miss you more sis Ugh 	negative	t
tastyerim	Good morning for this squad only ONCEùTWICE 	positive	t
seorangnabila	I didnt saw my crush today 	negative	t
babee_brii	"we needed to get our info straight from the source, then we used their own words against them "	positive	t
Nora_Oliver12	Or a cat 	negative	t
HeavenVenzh	#NAME?	positive	f
youronlyangels	I wanna have a beach day during spring break but I have no one to go w 	negative	t
birthdaymeat	apple made the wire on my headphones just long enough to humiliate me for buying them 	positive	f
jikookmonsbts	they are so cute  	negative	f
Lostillusion0	MATH ò	positive	t
wreckedbias97	Im talking to her right now  I will update you guys	negative	t
